,ipa,nosyl
692,nuˊm,1
693,nuˊm.b̥ə,2
694,paˊk̚,1
695,pãˊŋ,1
696,pɛˊ,1
697,pɛˊ.mə,2
698,pɛˊ.mo,2
699,peˊ.mə,2
700,piˊ.wãŋ,2
701,puˊ.d̥i,2
702,puˊ.ɕɛl,2
703,pyˊ.mo,2
704,paˊ.t͡sɛ,2
705,paˊ,1
706,pɛˊl,1
707,pũˊŋ,1
708,peˊ,1
709,peˊ.ɖ͡ʐ̊ɛ,2
710,pɛˊr.nə,2
711,pø̃ˊn̚,1
712,ʈ͡ʂiˊ.g̊ə,2
713,ʈɛˊl.wə,2
714,puˊ,1
715,puˊ.ɖ̥i,2
716,pỹˊn̚,1
717,pyˊn.d̥ə,2
718,põˊŋ,1
719,pɔˊp̚,1
720,ʈ͡ʂiˊ.d͡z̥uk̚,2
721,ʈ͡ʂiˊ.u.d͡z̥uk̚,3
722,ʈ͡ʂøˊ,1
723,ʈ͡ʂøˊ.ləm,2
724,ʈaˊ.d͡z̥il,2
725,ʈĩˊŋ.jik̚,2
726,ʈĩˊn̚,1
727,ʈyˊl,1
728,ʈeˊ.u,2
729,ʈøˊ,1
730,pʰaˊ,1
731,pʰaˊ.g̊u,2
732,pʰaˊ.b̥õŋ,2
733,pʰaˊ.røl,2
734,pʰaˊk̚,1
735,pʰaˊɣ.mo,2
736,pʰɛ̃ˊn̚,1
737,pʰɛˊn̚.ɖ͡ʐ̊ɛ,2
738,pʰɛˊn̚.d͡z̥ỹn̚,2
739,pʰɛˊn̚.jø̃n̚,2
740,pʰɛˊl,1
741,pʰɛˊl.ɖ͡ʐ̊e,2
742,pʰũˊŋ.b̥o,2
743,pʰyˊn̚.d͡z̥ɔk̚,2
744,pʰyˊn̚.sum,2
745,pʰoˊ.ɖ̥ãŋ,2
746,pʰøˊ,1
747,ʈ͡ʂʰaˊ.tər,2
748,ʈ͡ʂʰãˊː.ŋe,2
749,ʈ͡ʂʰiˊ.mə,2
750,ʈ͡ʂʰiˊ.rəp̚,2
751,ʈ͡ʂʰĩˊn̚,1
752,ʈ͡ʂʰiˊr,1
753,ʈ͡ʂʰuˊk̚,1
754,ʈ͡ʂʰeˊ.mə.lɛp̚,3
755,ʈʰaˊ,1
756,ʈʰaˊ.tɔk̚,2
757,ʈʰɛˊ,1
758,ʈʰɛ̃ˊn̚,1
759,ʈʰĩˊn̚,1
760,ʈʰiˊn̚.lɛ,2
761,ʈʰuˊ.g̊u,2
762,ʈʰuˊː.g̊u,2
763,ʈʰẽˊŋ,1
764,pʰãˊŋ,1
765,pʰaˊr,1
766,pʰoˊ,1
767,pʰõˊŋ,1
768,ʈʰyˊl,1
769,ʈʰoˊ,1
770,ʈʰɔˊk̚,1
771,pʰaˋ,1
772,pʰaˋ.d̥ɛ̃n̚,2
773,pʰaˋk̚,1
774,pʰaˋ.ʈ͡ʂək̚,2
775,pʰaˋ.t͡sə,2
776,pʰãˋŋ.d͡z̥ø,2
777,pʰɛˋ.g̊ɛ̃n̚,2
778,pʰɛ̃ˋn̚,1
779,pʰɛˋn̚.d̥e,2
780,pʰɛˋn̚.b̥ỹn̚,2
781,pʰəˋp̚,1
782,pʰaˋr,1
783,pʰaˋr.ɖ͡ʐ̊ɛ,2
784,pʰaˋr.mə.d̥o,3
785,pʰɛˋl.wə.d͡z̥ə,3
786,pʰuˋ,1
